Zip Code,Demographic,Percent,Year,BOROUGH
10023,Black,4.6,2017,MANHATTAN
10023,Asian,12.4,2017,MANHATTAN
10023,Hispanic,10.9,2017,MANHATTAN
10023,Male,43.5,2018,MANHATTAN
10023,Female,56.5,2018,MANHATTAN
10023,White,81.5,2018,MANHATTAN
10023,Black,4.9,2018,MANHATTAN
10023,Asian,12.1,2018,MANHATTAN
10023,Hispanic,10.5,2018,MANHATTAN
10023,Male,44.0,2019,MANHATTAN
10023,Female,56.0,2019,MANHATTAN
10023,White,80.7,2019,MANHATTAN
10023,Black,5.6,2019,MANHATTAN
10023,Asian,11.7,2019,MANHATTAN
10023,Hispanic,10.9,2019,MANHATTAN
10024,Male,44.7,2017,MANHATTAN
10024,Female,55.3,2017,MANHATTAN
10024,White,84.9,2017,MANHATTAN
10024,Black,5.4,2017,MANHATTAN
10024,Asian,8.4,2017,MANHATTAN
10024,Hispanic,10.7,2017,MANHATTAN
10024,Male,45.1,2018,MANHATTAN
10024,Female,54.9,2018,MANHATTAN
10024,White,85.2,2018,MANHATTAN
10024,Black,4.7,2018,MANHATTAN
10024,Asian,8.5,2018,MANHATTAN
10024,Hispanic,10.9,2018,MANHATTAN
10024,Male,44.0,2019,MANHATTAN
10024,Female,56.0,2019,MANHATTAN
10024,White,84.2,2019,MANHATTAN
10024,Black,4.7,2019,MANHATTAN
10024,Asian,9.2,2019,MANHATTAN
10024,Hispanic,10.7,2019,MANHATTAN
10025,Male,44.9,2017,MANHATTAN
10025,Female,55.1,2017,MANHATTAN
10025,White,67.7,2017,MANHATTAN
10025,Black,14.7,2017,MANHATTAN
10025,Asian,11.0,2017,MANHATTAN
10025,Hispanic,24.1,2017,MANHATTAN
10025,Male,45.1,2018,MANHATTAN
10025,Female,54.9,2018,MANHATTAN
10025,White,68.4,2018,MANHATTAN
10025,Black,15.1,2018,MANHATTAN
10025,Asian,10.2,2018,MANHATTAN
10025,Hispanic,23.4,2018,MANHATTAN
10025,Male,45.7,2019,MANHATTAN
10025,Female,54.3,2019,MANHATTAN
10025,White,69.7,2019,MANHATTAN
10025,Black,14.1,2019,MANHATTAN
10025,Asian,10.9,2019,MANHATTAN
