BOROUGH,Zip Code,MonthYear,Evictions
BRONX,10466,2018-10,35
BRONX,10466,2018-11,24
BRONX,10466,2018-12,25
BRONX,10466,2019-01,37
BRONX,10466,2019-02,34
BRONX,10466,2019-03,24
BRONX,10466,2019-04,23
BRONX,10466,2019-05,38
BRONX,10466,2019-06,39
BRONX,10466,2019-07,36
BRONX,10466,2019-08,28
BRONX,10466,2019-09,24
BRONX,10466,2019-10,12
BRONX,10466,2019-11,26
BRONX,10466,2019-12,14
BRONX,10467,2017-01,48
BRONX,10467,2017-02,49
BRONX,10467,2017-03,65
BRONX,10467,2017-04,58
BRONX,10467,2017-05,77
BRONX,10467,2017-06,52
BRONX,10467,2017-07,34
BRONX,10467,2017-08,56
BRONX,10467,2017-09,34
BRONX,10467,2017-10,48
BRONX,10467,2017-11,49
BRONX,10467,2017-12,47
BRONX,10467,2018-01,67
BRONX,10467,2018-02,51
BRONX,10467,2018-03,49
BRONX,10467,2018-04,62
BRONX,10467,2018-05,64
BRONX,10467,2018-06,46
BRONX,10467,2018-07,53
BRONX,10467,2018-08,42
BRONX,10467,2018-09,36
BRONX,10467,2018-10,39
BRONX,10467,2018-11,37
BRONX,10467,2018-12,27
BRONX,10467,2019-01,50
BRONX,10467,2019-02,34
BRONX,10467,2019-03,48
BRONX,10467,2019-04,53
BRONX,10467,2019-05,44
BRONX,10467,2019-06,54
BRONX,10467,2019-07,31
BRONX,10467,2019-08,53
BRONX,10467,2019-09,36
BRONX,10467,2019-10,34
BRONX,10467,2019-11,35
BRONX,10467,2019-12,24
BRONX,10468,2017-01,52
BRONX,10468,2017-02,43
BRONX,10468,2017-03,44
BRONX,10468,2017-04,37
BRONX,10468,2017-05,64
BRONX,10468,2017-06,47
BRONX,10468,2017-07,28
BRONX,10468,2017-08,38
BRONX,10468,2017-09,46
BRONX,10468,2017-10,55
BRONX,10468,2017-11,44
BRONX,10468,2017-12,34
BRONX,10468,2018-01,58
BRONX,10468,2018-02,57
BRONX,10468,2018-03,43
BRONX,10468,2018-04,39
BRONX,10468,2018-05,57
BRONX,10468,2018-06,38
